Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,11.59,$1.32B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd
MMM,3M Company,219.52,$130.55B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,17.16,$700.22M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,79.86,$11.7B,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,18.65,$1.72B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,5.15,$112.11M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",5.82,$411.77M,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",11.48,$280.8M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,44.11,$1.53B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",46.6,$3.38B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,23.74,$50.77B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,59.92,$104.64B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,94.65,$150.18B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,24.21,$1.65B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",13.48,$118.85M,1992,n/a,n/a,https://www.nasdaq.com/symbol/gch
ACP,Aberdeen Income Credit Strategies Fund,13.769,$180.02M,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.16,$122.54M,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",13.26,$98.38M,1990,n/a,n/a,https://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,33.48,$2.2B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,24.6,$2.06B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr
ACN,Accenture plc,153.5,$103.31B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,12.55,$1.35B,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",19.62,$52.61M,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,23.25,$1.4B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,139.19,$5.87B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,23.09,$1.73B,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",14.77,$1.46B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",18.2103,$519.92M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,7.52,$920.31M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro
ADNT,Adient plc,59.76,$5.58B,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt
ADT,ADT Inc.,7.93,$5.94B,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt
ATGE,Adtalem Global Education Inc.,47.55,$2.87B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,118.55,$8.77B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",22.28,$1.97B,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",25.9,$1.46B,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms
ASX,"Advanced Semiconductor Engineering, Inc.",7.26,$12.3B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/asx
ASIX,AdvanSix Inc.,34.78,$1.06B,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,2.95,$548.59M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aav
AVK,Advent Claymore Convertible Securities and Income Fund,15.08,$302.26M,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,5.6,$153.26M,2007,n/a,n/a,https://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,7.92,$72.72M,2005,n/a,n/a,https://www.nasdaq.com/symbol/lcm
ACM,AECOM,35.63,$5.67B,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,2.25,$91.44M,2006,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw
AEB,Aegon NV,24.95,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb
AED,Aegon NV,26.22,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed
AEG,Aegon NV,6.77,$14.29B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.84,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,26.51,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,50.72,$7.76B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer
HIVE,"Aerohive Networks, Inc.",4.04,$218.89M,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",27.97,$2.1B,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd
AET,Aetna Inc.,169,$55.25B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet
AMG,"Affiliated Managers Group, Inc.",189.58,$10.33B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg
AFL,Aflac Incorporated,43.76,$68.21B,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl
MITT,"AG Mortgage Investment Trust, Inc.",17.37,$489.76M,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt
MITT^A,"AG Mortgage Investment Trust, Inc.",25.38,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.0701,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,64.85,$5.16B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco
A,"Agilent Technologies, Inc.",66.9,$21.57B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,42.07,$9.81B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,48.04,$1.65B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc
AL,Air Lease Corporation,42.62,$4.42B,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al
APD,"Air Products and Chemicals, Inc.",159.03,$34.82B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd
